Country,Country Code,Mobile prefix[notes 1],,,,,,,,,,,,,,,,
Egypt,20,11,,,,,,,,,,,,,,,,
Egypt,20,12,,,,,,,,,,,,,,,,
Egypt,20,15,,,,,,,,,,,,,,,,
South Africa,27,60,,,,,,,,,,,,,,,,
South Africa,27,72,,,,,,,,,,,,,,,,
South Africa,27,73,,,,,,,,,,,,,,,,
South Africa,27,74,,,,,,,,,,,,,,,,
South Africa,27,76,,,,,,,,,,,,,,,,
South Africa,27,78,,,,,,,,,,,,,,,,
South Africa,27,79,,,,,,,,,,,,,,,,
South Africa,27,82,,,,,,,,,,,,,,,,
South Africa,27,83,,,,,,,,,,,,,,,,
South Africa,27,84,,,,,,,,,,,,,,,,
South Africa,27,710,,,,,,,,,,,,,,,,
South Africa,27,711,,,,,,,,,,,,,,,,
South Africa,27,712,,,,,,,,,,,,,,,,
South Africa,27,713,,,,,,,,,,,,,,,,
South Africa,27,714,,,,,,,,,,,,,,,,
South Africa,27,715,,,,,,,,,,,,,,,,
South Africa,27,716,,,,,,,,,,,,,,,,
South Africa,27,717,,,,,,,,,,,,,,,,
South Africa,27,718,,,,,,,,,,,,,,,,
South Africa,27,719,,,,,,,,,,,,,,,,
South Africa,27,741,,,,,,,,,,,,,,,,
South Africa,27,811,,,,,,,,,,,,,,,,
South Africa,27,812,,,,,,,,,,,,,,,,
South Africa,27,813,,,,,,,,,,,,,,,,
South Africa,27,814,,,,,,,,,,,,,,,,
Greece,30,690,,,,,,,,,,,,,,,,
Greece,30,693,,,,,,,,,,,,,,,,
Greece,30,694,,,,,,,,,,,,,,,,
Greece,30,695,,,,,,,,,,,,,,,,
Greece,30,697,,,,,,,,,,,,,,,,
Greece,30,698,,,,,,,,,,,,,,,,
Greece,30,699,,,,,,,,,,,,,,,,
Netherlands,31,6,,,,,,,,,,,,,,,,
France,33,6,,,,,,,,,,,,,,,,
France,33,73,,,,,,,,,,,,,,,,
France,33,74,,,,,,,,,,,,,,,,
France,33,75,,,,,,,,,,,,,,,,
France,33,76,,,,,,,,,,,,,,,,
France,33,77,,,,,,,,,,,,,,,,
France,33,78,,,,,,,,,,,,,,,,
France,33,700,,,,,,,,,,,,,,,,
Spain,34,6,,,,,,,,,,,,,,,,
Spain,34,7,,,,,,,,,,,,,,,,
Hungary,36,20,,,,,,,,,,,,,,,,
Hungary,36,30,,,,,,,,,,,,,,,,
Hungary,36,31,,,,,,,,,,,,,,,,
Hungary,36,38,,,,,,,,,,,,,,,,
Hungary,36,50,,,,,,,,,,,,,,,,
Hungary,36,60,,,,,,,,,,,,,,,,
Hungary,36,70,,,,,,,,,,,,,,,,
Italy,39,313,,,,,,,,,,,,,,,,
Italy,39,319,,,,,,,,,,,,,,,,
Italy,39,320,,,,,,,,,,,,,,,,
Italy,39,322,,,,,,,,,,,,,,,,
Italy,39,323,,,,,,,,,,,,,,,,
Italy,39,324,,,,,,,,,,,,,,,,
Italy,39,327,,,,,,,,,,,,,,,,
Italy,39,328,,,,,,,,,,,,,,,,
Italy,39,329,,,,,,,,,,,,,,,,
Italy,39,330,,,,,,,,,,,,,,,,
Italy,39,331,,,,,,,,,,,,,,,,
Italy,39,333,,,,,,,,,,,,,,,,
Italy,39,334,,,,,,,,,,,,,,,,
Italy,39,335,,,,,,,,,,,,,,,,
Italy,39,336,,,,,,,,,,,,,,,,
Italy,39,337,,,,,,,,,,,,,,,,
Italy,39,338,,,,,,,,,,,,,,,,
Italy,39,339,,,,,,,,,,,,,,,,
Italy,39,340,,,,,,,,,,,,,,,,
Italy,39,341,,,,,,,,,,,,,,,,
Italy,39,342,,,,,,,,,,,,,,,,
Italy,39,343,,,,,,,,,,,,,,,,
Italy,39,344,,,,,,,,,,,,,,,,
Italy,39,345,,,,,,,,,,,,,,,,
Italy,39,346,,,,,,,,,,,,,,,,
Italy,39,347,,,,,,,,,,,,,,,,
Italy,39,348,,,,,,,,,,,,,,,,
Italy,39,349,,,,,,,,,,,,,,,,
Italy,39,360,,,,,,,,,,,,,,,,
Italy,39,361,,,,,,,,,,,,,,,,
Italy,39,362,,,,,,,,,,,,,,,,
Italy,39,363,,,,,,,,,,,,,,,,
Italy,39,366,,,,,,,,,,,,,,,,
Italy,39,368,,,,,,,,,,,,,,,,
Italy,39,370,,,,,,,,,,,,,,,,
Italy,39,373,,,,,,,,,,,,,,,,
Italy,39,377,,,,,,,,,,,,,,,,
Italy,39,380,,,,,,,,,,,,,,,,
Italy,39,381,,,,,,,,,,,,,,,,
Italy,39,382,,,,,,,,,,,,,,,,
Italy,39,383,,,,,,,,,,,,,,,,
Italy,39,385,,,,,,,,,,,,,,,,
Italy,39,388,,,,,,,,,,,,,,,,
Italy,39,389,,,,,,,,,,,,,,,,
Italy,39,390,,,,,,,,,,,,,,,,
Italy,39,391,,,,,,,,,,,,,,,,
Italy,39,392,,,,,,,,,,,,,,,,
Italy,39,393,,,,,,,,,,,,,,,,
Italy,39,397,,,,,,,,,,,,,,,,
Italy,39,3505,,,,,,,,,,,,,,,,
Italy,39,3510,,,,,,,,,,,,,,,,
Italy,39,3512,,,,,,,,,,,,,,,,
Italy,39,3710,,,,,,,,,,,,,,,,
Italy,39,3711,,,,,,,,,,,,,,,,
Italy,39,31100,,,,,,,,,,,,,,,,
Italy,39,31101,,,,,,,,,,,,,,,,
Italy,39,31105,,,,,,,,,,,,,,,,
Romania,40,70,,,,,,,,,,,,,,,,
Romania,40,72,,,,,,,,,,,,,,,,
Romania,40,73,,,,,,,,,,,,,,,,
Romania,40,74,,,,,,,,,,,,,,,,
Romania,40,75,,,,,,,,,,,,,,,,
Romania,40,76,,,,,,,,,,,,,,,,
Romania,40,77,,,,,,,,,,,,,,,,
Romania,40,78,,,,,,,,,,,,,,,,
Romania,40,711,,,,,,,,,,,,,,,,
